Date,Close,High,Low,Open,Volume
,SOXS,SOXS,SOXS,SOXS,SOXS
2025-01-02,22.1200008392334,22.690000534057617,21.030000686645508,21.770000457763672,40319400
2025-01-03,20.40999984741211,21.770000457763672,20.219999313354492,21.649999618530273,39948300
2025-01-06,18.6299991607666,19.079999923706055,17.850000381469727,19.049999237060547,61132100
2025-01-07,19.360000610351562,19.700000762939453,17.93000030517578,18.0,55560900
2025-01-08,19.959999084472656,20.6200008392334,19.479999542236328,19.649999618530273,48692300
2025-01-10,21.450000762939453,21.829999923706055,20.729999542236328,20.75,51748600
2025-01-13,21.59000015258789,22.799999237060547,21.549999237060547,22.700000762939453,38994300
2025-01-14,21.290000915527344,22.100000381469727,20.709999084472656,21.079999923706055,32164300
2025-01-15,19.989999771118164,20.469999313354492,19.610000610351562,20.209999084472656,39827100
2025-01-16,19.93000030517578,19.93000030517578,18.799999237060547,18.979999542236328,46764500
2025-01-17,18.329999923706055,18.979999542236328,18.170000076293945,18.600000381469727,53927900
2025-01-21,17.649999618530273,18.309999465942383,17.170000076293945,17.81999969482422,46458000
2025-01-22,16.899999618530273,17.260000228881836,16.350000381469727,17.139999389648438,51936700
2025-01-23,17.0,17.90999984741211,17.0,17.700000762939453,41509700
2025-01-24,18.09000015258789,18.270000457763672,17.0,17.010000228881836,41395000
2025-01-27,22.219999313354492,22.989999771118164,20.649999618530273,20.84000015258789,117036700
2025-01-28,22.0,23.459999084472656,21.610000610351562,22.0,55771000
2025-01-29,21.780000686645508,22.459999084472656,21.209999084472656,21.389999389648438,37138500
2025-01-30,20.459999084472656,21.360000610351562,20.059999465942383,20.940000534057617,42640700
2025-01-31,20.610000610351562,20.829999923706055,18.920000076293945,20.1200008392334,67455400
2025-02-03,21.670000076293945,22.670000076293945,21.0,22.25,56958700
2025-02-04,21.100000381469727,22.040000915527344,20.81999969482422,21.90999984741211,32290600
2025-02-05,19.8700008392334,21.700000762939453,19.760000228881836,21.25,32942500
2025-02-06,20.0,20.649999618530273,19.889999389648438,20.329999923706055,26057500
2025-02-07,20.90999984741211,21.34000015258789,19.540000915527344,19.860000610351562,51427100
2025-02-10,20.1299991607666,20.510000228881836,19.979999542236328,20.43000030517578,29345400
2025-02-11,20.100000381469727,20.649999618530273,19.739999771118164,20.6200008392334,32628900
2025-02-12,20.030000686645508,21.18000030517578,20.010000228881836,21.0,39058300
2025-02-13,19.280000686645508,20.100000381469727,19.260000228881836,20.049999237060547,37648500
2025-02-14,19.290000915527344,19.59000015258789,19.100000381469727,19.3700008392334,24872100
2025-02-18,18.31999969482422,19.18000030517578,18.149999618530273,18.829999923706055,33382300
2025-02-19,17.440000534057617,18.459999084472656,17.15999984741211,18.190000534057617,46630900
2025-02-20,17.309999465942383,17.829999923706055,16.780000686645508,17.100000381469727,39042100
2025-02-21,18.889999389648438,19.110000610351562,17.149999618530273,17.149999618530273,52374400
2025-02-24,20.18000030517578,20.299999237060547,18.59000015258789,18.65999984741211,57479500
2025-02-25,21.479999542236328,21.700000762939453,20.100000381469727,20.309999465942383,57889200
2025-02-26,20.3700008392334,21.110000610351562,19.84000015258789,20.65999984741211,40367700
2025-02-27,24.020000457763672,24.059999465942383,19.979999542236328,20.079999923706055,62967200
2025-02-28,22.860000610351562,24.760000228881836,22.309999465942383,23.920000076293945,55580600
2025-03-03,25.260000228881836,25.920000076293945,21.850000381469727,21.850000381469727,66242300
2025-03-04,24.8700008392334,26.979999542236328,22.829999923706055,25.34000015258789,67469600
2025-03-05,23.280000686645508,25.510000228881836,23.059999465942383,24.18000030517578,55916400
2025-03-06,26.1200008392334,26.43000030517578,24.280000686645508,25.690000534057617,56345800
2025-03-07,23.899999618530273,26.860000610351562,23.639999389648438,25.899999618530273,51858900
2025-03-10,27.170000076293945,28.25,25.15999984741211,25.700000762939453,51930400
2025-03-11,28.190000534057617,29.459999084472656,26.43000030517578,27.139999389648438,54877900
2025-03-12,26.440000534057617,27.280000686645508,25.329999923706055,26.299999237060547,36233500
